"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"反転（はんてん）","flip<br><b>Example</b>: 反転で学習する。 / はんてんでがくしゅうする。 / Train with flips.","反転","はんてん","flip","反転で学習する。","はんてんでがくしゅうする。","Train with flips."
"切り出し（きりだし）","cropping<br><b>Example</b>: 切り出しサイズを変える。 / きりだしさいずをかえる。 / Change crop size.","切り出し","きりだし","cropping","切り出しサイズを変える。","きりだしさいずをかえる。","Change crop size."
"解像度（かいぞうど）","resolution<br><b>Example</b>: 解像度を下げて高速化する。 / かいぞうどをさげてこうそくかする。 / Lower resolution to speed up.","解像度","かいぞうど","resolution","解像度を下げて高速化する。","かいぞうどをさげてこうそくかする。","Lower resolution to speed up."
"リサイズ（りさいず）","resize<br><b>Example</b>: 入力画像をリサイズする。 / にゅうりょくがぞうをりさいずする。 / Resize the input image.","リサイズ","りさいず","resize","入力画像をリサイズする。","にゅうりょくがぞうをりさいずする。","Resize the input image."
"ノイズ（のいず）","noise<br><b>Example</b>: ノイズに強いモデルにする。 / のいずにつよいもでるにする。 / Make the model robust to noise.","ノイズ","のいず","noise","ノイズに強いモデルにする。","のいずにつよいもでるにする。","Make the model robust to noise."
"ぼかし（ぼかし）","blur<br><b>Example</b>: ぼかしの影響を確認する。 / ぼかしのえいきょうをかくにんする。 / Check blur impact.","ぼかし","ぼかし","blur","ぼかしの影響を確認する。","ぼかしのえいきょうをかくにんする。","Check blur impact."
"レンズ歪み（れんずゆがみ）","lens distortion<br><b>Example</b>: レンズ歪みを補正する。 / れんずゆがみをほせいする。 / Correct lens distortion.","レンズ歪み","れんずゆがみ","lens distortion","レンズ歪みを補正する。","れんずゆがみをほせいする。","Correct lens distortion."
"キャリブレーション（きゃりぶれーしょん）","calibration<br><b>Example</b>: カメラをキャリブレーションする。 / かめらをきゃりぶれーしょんする。 / Calibrate the camera.","キャリブレーション","きゃりぶれーしょん","calibration","カメラをキャリブレーションする。","かめらをきゃりぶれーしょんする。","Calibrate the camera."
"追跡（ついせき）","tracking<br><b>Example</b>: 物体を追跡する。 / ぶったいをついせきする。 / Track objects.","追跡","ついせき","tracking","物体を追跡する。","ぶったいをついせきする。","Track objects."
"深度推定（しんどすいてい）","depth estimation<br><b>Example</b>: 深度推定の誤差を見る。 / しんどすいていのごさをみる。 / Check depth error.","深度推定","しんどすいてい","depth estimation","深度推定の誤差を見る。","しんどすいていのごさをみる。","Check depth error."
"特徴点（とくちょうてん）","keypoints / features<br><b>Example</b>: 特徴点を抽出する。 / とくちょうてんをちゅうしゅつする。 / Extract keypoints.","特徴点","とくちょうてん","keypoints / features","特徴点を抽出する。","とくちょうてんをちゅうしゅつする。","Extract keypoints."
"マッチング（まっちんぐ）","matching<br><b>Example</b>: 特徴点をマッチングする。 / とくちょうてんをまっちんぐする。 / Match keypoints.","マッチング","まっちんぐ","matching","特徴点をマッチングする。","とくちょうてんをまっちんぐする。","Match keypoints."
