"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"切り分けます（きりわけます）","I’ll isolate / triage<br><b>Example</b>: 原因を切り分けます。 / げんいんをきりわけます。 / I’ll isolate the cause.","切り分けます","きりわけます","I’ll isolate / triage","原因を切り分けます。","げんいんをきりわけます。","I’ll isolate the cause."
"根拠は（こんきょは）","What’s the evidence?<br><b>Example</b>: 根拠は何ですか。 / こんきょはなんですか。 / What’s the evidence?","根拠は","こんきょは","What’s the evidence?","根拠は何ですか。","こんきょはなんですか。","What’s the evidence?"
"検討します（けんとうします）","We’ll consider<br><b>Example</b>: その案を検討します。 / そのあんをけんとうします。 / We’ll consider that option.","検討します","けんとうします","We’ll consider","その案を検討します。","そのあんをけんとうします。","We’ll consider that option."
"持ち帰ります（もちかえります）","I’ll take it back and review<br><b>Example</b>: 一度持ち帰ります。 / いちどもちかえります。 / I’ll take it back and review.","持ち帰ります","もちかえります","I’ll take it back and review","一度持ち帰ります。","いちどもちかえります。","I’ll take it back and review."
"宿題（しゅくだい）","action item / homework<br><b>Example</b>: 次回までの宿題です。 / じかいまでのしゅくだいです。 / It’s an action item for next time.","宿題","しゅくだい","action item / homework","次回までの宿題です。","じかいまでのしゅくだいです。","It’s an action item for next time."
"次回までに（じかいまでに）","by next time<br><b>Example</b>: 次回までに共有します。 / じかいまでにきょうゆうします。 / I’ll share by next meeting.","次回までに","じかいまでに","by next time","次回までに共有します。","じかいまでにきょうゆうします。","I’ll share by next meeting."
"予定通り（よていどおり）","as planned<br><b>Example</b>: 予定通り進めます。 / よていどおりすすめます。 / We’ll proceed as planned.","予定通り","よていどおり","as planned","予定通り進めます。","よていどおりすすめます。","We’ll proceed as planned."
"前倒し（まえだおし）","move earlier<br><b>Example</b>: リリースを前倒しします。 / りりーすをまえだおしします。 / Move the release earlier.","前倒し","まえだおし","move earlier","リリースを前倒しします。","りりーすをまえだおしします。","Move the release earlier."
"後ろ倒し（うしろだおし）","delay / push back<br><b>Example</b>: リリースを後ろ倒しします。 / りりーすをうしろだおしします。 / Push the release back.","後ろ倒し","うしろだおし","delay / push back","リリースを後ろ倒しします。","りりーすをうしろだおしします。","Push the release back."
"すり合わせ（すりあわせ）","alignment / adjustment<br><b>Example</b>: 要件をすり合わせます。 / ようけんをすりあわせます。 / Align the requirements.","すり合わせ","すりあわせ","alignment / adjustment","要件をすり合わせます。","ようけんをすりあわせます。","Align the requirements."
"調整します（ちょうせいします）","I’ll coordinate / adjust<br><b>Example</b>: 日程を調整します。 / にっていをちょうせいします。 / I’ll coordinate the schedule.","調整します","ちょうせいします","I’ll coordinate / adjust","日程を調整します。","にっていをちょうせいします。","I’ll coordinate the schedule."
"まずは（まずは）","first / to begin with<br><b>Example</b>: まずは小さく試します。 / まずはちいさくためします。 / First, we’ll try small.","まずは","まずは","first / to begin with","まずは小さく試します。","まずはちいさくためします。","First, we’ll try small."
"もし可能なら（もしかのうなら）","if possible<br><b>Example</b>: もし可能なら今日確認します。 / もしかのうならきょうかくにんします。 / If possible, I’ll check today.","もし可能なら","もしかのうなら","if possible","もし可能なら今日確認します。","もしかのうならきょうかくにんします。","If possible, I’ll check today."
"〜で問題ないです（〜でもんだいないです）","it’s fine / no problem<br><b>Example</b>: この設計で問題ないです。 / このせっけいでもんだいないです。 / This design is fine.","〜で問題ないです","〜でもんだいないです","it’s fine / no problem","この設計で問題ないです。","このせっけいでもんだいないです。","This design is fine."
