"Deck","Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN","Example2_JP","Example2_Hiragana","Example2_EN","Example3_JP","Example3_Hiragana","Example3_EN","Tags","Notes"
"01_core_ml_concepts","損失関数（そんしつかんすう）","loss function<br><b>Example</b>: 損失関数を最小化する。 / そんしつかんすうをさいしょうかする。 / Minimize the loss function.","損失関数","そんしつかんすう","loss function","損失関数をかえます。","そんしつかんすうをかえます。","We'll change the loss function.","損失関数をへんこうします。","そんしつかんすうをへんこうします。","We'll change the loss function.","損失関数がさがっているかみます。","そんしつかんすうがさがっているかみます。","We'll check the loss is going down.","01_core_ml_concepts",""
"01_core_ml_concepts","最適化（さいてきか）","optimization<br><b>Example</b>: 最適化手法を変える。 / さいてきかしゅほうをかえる。 / Change the optimizer.","最適化","さいてきか","optimization","最適化でぱらめーたをこうしんします。","さいてきかでぱらめーたをこうしんします。","Optimization updates the parameters.","最適化でぱらめーたをこうしんします。","さいてきかでぱらめーたをこうしんします。","Optimization updates the parameters.","最適化のほうほうをかえます。","さいてきかのほうほうをかえます。","We'll change the optimization method.","01_core_ml_concepts",""
"01_core_ml_concepts","ハイパーパラメータ（はいぱーぱらめーた）","hyperparameter<br><b>Example</b>: ハイパーパラメータを調整する。 / はいぱーぱらめーたをちょうせいする。 / Tune hyperparameters.","ハイパーパラメータ","はいぱーぱらめーた","hyperparameter","ハイパーパラメータをちょうせいします。","はいぱーぱらめーたをちょうせいします。","We'll tune hyperparameters.","ハイパーパラメータをちょうせいします。","はいぱーぱらめーたをちょうせいします。","We'll tune hyperparameters.","ハイパーパラメータをきろくします。","はいぱーぱらめーたをきろくします。","We'll record the hyperparameters.","01_core_ml_concepts",""
"01_core_ml_concepts","学習率（がくしゅうりつ）","learning rate<br><b>Example</b>: 学習率を下げる。 / がくしゅうりつをさげる。 / Lower the learning rate.","学習率","がくしゅうりつ","learning rate","学習率をちょうせいします。","がくしゅうりつをちょうせいします。","We'll tune the learning rate.","学習率をさげます。","がくしゅうりつをさげます。","We'll lower the learning rate.","学習率をだんだんさげます。","がくしゅうりつをだんだんさげます。","We'll decay the learning rate gradually.","01_core_ml_concepts",""
"01_core_ml_concepts","収束（しゅうそく）","convergence<br><b>Example</b>: 学習が収束しない。 / がくしゅうがしゅうそくしない。 / Training won’t converge.","収束","しゅうそく","convergence","がくしゅうが収束しません。","がくしゅうがしゅうそくしません。","Training isn't converging.","このもでるはまだ収束していません。","このもでるはまだしゅうそくしていません。","The model hasn't converged yet.","収束をはやめるためにがくしゅうりつをみなおします。","しゅうそくをはやめるためにがくしゅうりつをみなおします。","We'll revisit the learning rate to speed up convergence.","01_core_ml_concepts",""
"02_deep_learning_nn","深層学習（しんそうがくしゅう）","deep learning<br><b>Example</b>: 深層学習で性能を上げる。 / しんそうがくしゅうでせいのうをあげる。 / Improve performance with DL.","深層学習","しんそうがくしゅう","deep learning","深層学習でもでるをつくります。","しんそうがくしゅうでもでるをつくります。","We'll build a deep learning model.","深層学習でがぞうをあつかいます。","しんそうがくしゅうでがぞうをあつかいます。","We use deep learning for images.","深層学習のもでるをさいしゅうてきにひょうかします。","しんそうがくしゅうのもでるをさいしゅうてきにひょうかします。","We'll evaluate the deep learning model at the end.","02_deep_learning_nn",""
"02_deep_learning_nn","ニューラルネットワーク（にゅーらるねっとわーく）","neural network<br><b>Example</b>: ニューラルネットワークを学習する。 / にゅーらるねっとわーくをがくしゅうする。 / Train a neural network.","ニューラルネットワーク","にゅーらるねっとわーく","neural network","ニューラルネットワークをがくしゅうさせます。","にゅーらるねっとわーくをがくしゅうさせます。","We'll train a neural network.","ニューラルネットワークをくみます。","にゅーらるねっとわーくをくみます。","We'll build a neural network.","ニューラルネットワークのそうをふやします。","にゅーらるねっとわーくのそうをふやします。","We'll add more layers to the network.","02_deep_learning_nn",""
"02_deep_learning_nn","層（そう）","layer<br><b>Example</b>: 層を増やす。 / そうをふやす。 / Add more layers.","層","そう","layer","層をふやします。","そうをふやします。","We'll add more layers.","層をひとつついかします。","そうをひとつついかします。","We'll add one layer.","層のかずをかえてためします。","そうのかずをかえてためします。","We'll try changing the number of layers.","02_deep_learning_nn",""
"02_deep_learning_nn","パラメータ（ぱらめーた）","parameter<br><b>Example</b>: パラメータ数が多い。 / ぱらめーたすうがおおい。 / There are many parameters.","パラメータ","ぱらめーた","parameter","パラメータをほぞんします。","ぱらめーたをほぞんします。","We'll save the parameters.","パラメータをこうしんします。","ぱらめーたをこうしんします。","We'll update the parameters.","パラメータをほぞんしてさいげんします。","ぱらめーたをほぞんしてさいげんします。","We'll save parameters to reproduce.","02_deep_learning_nn",""
"02_deep_learning_nn","重み（おもみ）","weights<br><b>Example</b>: 重みを初期化する。 / おもみをしょきかする。 / Initialize weights.","重み","おもみ","weights","重みをしょきかします。","おもみをしょきかします。","We'll initialize the weights.","重みがかわりすぎています。","おもみがかわりすぎています。","The weights are changing too much.","重みをしょきかします。","おもみをしょきかします。","We'll initialize the weights.","02_deep_learning_nn",""
"02_deep_learning_nn","バイアス（ばいあす）","bias term<br><b>Example</b>: バイアス項を含める。 / ばいあすこうをふくめる。 / Include a bias term.","バイアス","ばいあす","bias term","バイアスをそうにいれます。","ばいあすをそうにいれます。","We'll add a bias term to the layer.","バイアスをそうにいれます。","ばいあすをそうにいれます。","We'll add a bias term to the layer.","バイアスをぜろでしょきかします。","ばいあすをぜろでしょきかします。","We'll initialize the bias to zero.","02_deep_learning_nn",""
"02_deep_learning_nn","活性化関数（かっせいかかんすう）","activation function<br><b>Example</b>: 活性化関数をReLUにする。 / かっせいかかんすうをりるーにする。 / Use ReLU as activation.","活性化関数","かっせいかかんすう","activation function","活性化関数をれるーにします。","かっせいかかんすうをれるーにします。","We'll set the activation function to ReLU.","活性化関数をれるーにします。","かっせいかかんすうをれるーにします。","We'll set the activation function to ReLU.","活性化関数をかえてくらべます。","かっせいかかんすうをかえてくらべます。","We'll compare different activations.","02_deep_learning_nn",""
"02_deep_learning_nn","勾配（こうばい）","gradient<br><b>Example</b>: 勾配が消える。 / こうばいがきえる。 / Gradients vanish.","勾配","こうばい","gradient","勾配をくりっぷします。","こうばいをくりっぷします。","We'll clip the gradients.","勾配がちいさくなっています。","こうばいがちいさくなっています。","The gradient is getting small.","勾配をくりっぷします。","こうばいをくりっぷします。","We'll clip the gradients.","02_deep_learning_nn",""
"02_deep_learning_nn","勾配降下法（こうばいこうかほう）","gradient descent<br><b>Example</b>: 勾配降下法で更新する。 / こうばいこうかほうでこうしんする。 / Update via gradient descent.","勾配降下法","こうばいこうかほう","gradient descent","勾配降下法でさいてきかします。","こうばいこうかほうでさいてきかします。","We'll optimize with gradient descent.","勾配降下法でさいてきかします。","こうばいこうかほうでさいてきかします。","We'll optimize with gradient descent.","勾配降下法のすてっぷをちょうせいします。","こうばいこうかほうのすてっぷをちょうせいします。","We'll adjust the step size for gradient descent.","02_deep_learning_nn",""
"02_deep_learning_nn","ミニバッチ（みにばっち）","mini-batch<br><b>Example</b>: ミニバッチで学習する。 / みにばっちでがくしゅうする。 / Train with mini-batches.","ミニバッチ","みにばっち","mini-batch","ミニバッチでがくしゅうします。","みにばっちでがくしゅうします。","We'll train with mini-batches.","ミニバッチでがくしゅうします。","みにばっちでがくしゅうします。","We'll train with mini-batches.","ミニバッチのさいずをかえます。","みにばっちのさいずをかえます。","We'll change the mini-batch size.","02_deep_learning_nn",""
"02_deep_learning_nn","エポック（えぽっく）","epoch<br><b>Example</b>: 10エポック回す。 / じゅうえぽっくまわす。 / Run 10 epochs.","エポック","えぽっく","epoch","エポックを10まわします。","えぽっくを10まわします。","We'll run 10 epochs.","エポックを10までまわします。","えぽっくを10までまわします。","We'll run 10 epochs.","エポックごとにひょうかします。","えぽっくごとにひょうかします。","We'll evaluate every epoch.","02_deep_learning_nn",""
"02_deep_learning_nn","正則化（せいそくか）","regularization<br><b>Example</b>: 正則化で過学習を抑える。 / せいそくかでかがくしゅうをおさえる。 / Reduce overfitting with regularization.","正則化","せいそくか","regularization","正則化をいれます。","せいそくかをいれます。","We'll add regularization.","正則化をいれてあんていさせます。","せいそくかをいれてあんていさせます。","We'll add regularization to stabilize.","正則化のつよさをちょうせいします。","せいそくかのつよさをちょうせいします。","We'll tune regularization strength.","02_deep_learning_nn",""
"02_deep_learning_nn","ドロップアウト（どろっぷあうと）","dropout<br><b>Example</b>: ドロップアウト率を上げる。 / どろっぷあうとりつをあげる。 / Increase dropout rate.","ドロップアウト","どろっぷあうと","dropout","ドロップアウトをいれます。","どろっぷあうとをいれます。","We'll add dropout.","ドロップアウトをいれます。","どろっぷあうとをいれます。","We'll add dropout.","ドロップアウトりつをかえます。","どろっぷあうとりつをかえます。","We'll change the dropout rate.","02_deep_learning_nn",""
"02_deep_learning_nn","バッチ正規化（ばっちせいきか）","batch normalization<br><b>Example</b>: バッチ正規化を入れる。 / ばっちせいきかをいれる。 / Add batch norm.","バッチ正規化","ばっちせいきか","batch normalization","バッチ正規化をいれます。","ばっちせいきかをいれます。","We'll add batch normalization.","バッチ正規化をそうにいれます。","ばっちせいきかをそうにいれます。","We'll add batch normalization.","バッチ正規化のいちをかえます。","ばっちせいきかのいちをかえます。","We'll change where batch norm is applied.","02_deep_learning_nn",""
"02_deep_learning_nn","過学習（かがくしゅう）","overfitting<br><b>Example</b>: 過学習している可能性がある。 / かがくしゅうしているかのうせいがある。 / It may be overfitting.","過学習","かがくしゅう","overfitting","このもでるは過学習しています。","このもでるはかがくしゅうしています。","This model is overfitting.","てすとで過学習がみえます。","てすとでかがくしゅうがみえます。","We can see overfitting on the test set.","過学習をさけるためにそうきしゅうりょうをつかいます。","かがくしゅうをさけるためにそうきしゅうりょうをつかいます。","We'll use early stopping to avoid overfitting.","02_deep_learning_nn",""
"02_deep_learning_nn","汎化（はんか）","generalization<br><b>Example</b>: 汎化性能を確認する。 / はんかせいのうをかくにんする。 / Check generalization.","汎化","はんか","generalization","汎化せいのうをみます。","はんかせいのうをみます。","We'll check generalization performance.","汎化せいのうをかくにんします。","はんかせいのうをかくにんします。","We'll check generalization.","汎化をあげるためにでーたをふやします。","はんかをあげるためにでーたをふやします。","We'll add more data to improve generalization.","02_deep_learning_nn",""
"02_deep_learning_nn","事前学習（じぜんがくしゅう）","pretraining<br><b>Example</b>: 大規模データで事前学習する。 / だいきぼでーたでじぜんがくしゅうする。 / Pretrain on large data.","事前学習","じぜんがくしゅう","pretraining","事前学習ずみのもでるをつかいます。","じぜんがくしゅうずみのもでるをつかいます。","We'll use a pretrained model.","まず事前学習をします。","まずじぜんがくしゅうをします。","We'll do pretraining first.","事前学習ずみのもでるをつかいます。","じぜんがくしゅうずみのもでるをつかいます。","We'll use a pretrained model.","02_deep_learning_nn",""
"02_deep_learning_nn","微調整（びちょうせい）","fine-tuning<br><b>Example</b>: 日本語用に微調整する。 / にほんごようにびちょうせいする。 / Fine-tune for Japanese.","微調整","びちょうせい","fine-tuning","このもでるを微調整します。","このもでるをびちょうせいします。","We'll fine-tune this model.","微調整でせいのうをあげます。","びちょうせいでせいのうをあげます。","Fine-tuning improves performance.","微調整のれーとをさげます。","びちょうせいのれーとをさげます。","We'll lower the fine-tuning rate.","02_deep_learning_nn",""
"02_deep_learning_nn","転移学習（てんいがくしゅう）","transfer learning<br><b>Example</b>: 転移学習で学習時間を短縮する。 / てんいがくしゅうでがくしゅうじかんをたんしゅくする。 / Reduce training time via transfer learning.","転移学習","てんいがくしゅう","transfer learning","転移学習をつかいます。","てんいがくしゅうをつかいます。","We'll use transfer learning.","転移学習ででーたがすくなくてもまなびます。","てんいがくしゅうででーたがすくなくてもまなびます。","Transfer learning helps with little data.","転移学習のもとになるもでるをえらびます。","てんいがくしゅうのもとになるもでるをえらびます。","We'll choose a source model for transfer learning.","02_deep_learning_nn",""
"02_deep_learning_nn","早期終了（そうきしゅうりょう）","early stopping<br><b>Example</b>: 早期終了を有効にする。 / そうきしゅうりょうをゆうこうにする。 / Enable early stopping.","早期終了","そうきしゅうりょう","early stopping","早期終了をいれます。","そうきしゅうりょうをいれます。","We'll add early stopping.","早期終了をいれます。","そうきしゅうりょうをいれます。","We'll add early stopping.","早期終了のたいみんぐをちょうせいします。","そうきしゅうりょうのたいみんぐをちょうせいします。","We'll tune when early stopping triggers.","02_deep_learning_nn",""
"03_nlp_llm","自然言語処理（しぜんげんごしょり）","natural language processing (NLP)<br><b>Example</b>: 自然言語処理のタスクを整理する。 / しぜんげんごしょりのたすくをせいりする。 / Organize NLP tasks.","自然言語処理","しぜんげんごしょり","natural language processing (NLP)","自然言語処理でめーるをぶんるいします。","しぜんげんごしょりでめーるをぶんるいします。","We'll classify emails with NLP.","自然言語処理でめーるをぶんるいします。","しぜんげんごしょりでめーるをぶんるいします。","We'll classify emails with NLP.","自然言語処理でいみをとります。","しぜんげんごしょりでいみをとります。","We extract meaning with NLP.","03_nlp_llm",""
"03_nlp_llm","トークン（とーくん）","token<br><b>Example</b>: トークン数を制限する。 / とーくんすうをせいげんする。 / Limit token count.","トークン","とーくん","token","トークンがたりません。","とーくんがたりません。","We're short on tokens.","トークンすうをへらします。","とーくんすうをへらします。","We'll reduce the token count.","トークンすうをかぞえます。","とーくんすうをかぞえます。","We'll count tokens.","03_nlp_llm",""
"03_nlp_llm","トークナイザ（とーくないざ）","tokenizer<br><b>Example</b>: トークナイザを合わせる。 / とーくないざをあわせる。 / Align tokenizers.","トークナイザ","とーくないざ","tokenizer","トークナイザをそろえます。","とーくないざをそろえます。","We'll align tokenizers.","トークナイザをかえてためします。","とーくないざをかえてためします。","We'll try a different tokenizer.","トークナイザのしょりをはやくします。","とーくないざのしょりをはやくします。","We'll speed up tokenization.","03_nlp_llm",""
"03_nlp_llm","語彙（ごい）","vocabulary<br><b>Example</b>: 語彙を拡張する。 / ごいをかくちょうする。 / Expand vocabulary.","語彙","ごい","vocabulary","語彙をそろえます。","ごいをそろえます。","We'll align the vocabulary.","語彙をふやしておぼえます。","ごいをふやしておぼえます。","We'll expand our vocabulary.","このたすくの語彙をそろえます。","このたすくのごいをそろえます。","We'll align the vocabulary for this task.","03_nlp_llm",""
"03_nlp_llm","埋め込み（うめこみ）","embedding<br><b>Example</b>: 埋め込みを再計算する。 / うめこみをさいけいさんする。 / Recompute embeddings.","埋め込み","うめこみ","embedding","埋め込みをさくせいします。","うめこみをさくせいします。","We'll create embeddings.","埋め込みをつかってにたものをさがします。","うめこみをつかってにたものをさがします。","We'll use embeddings to find similar items.","埋め込みをほぞんしてさいりようします。","うめこみをほぞんしてさいりようします。","We'll store embeddings and reuse them.","03_nlp_llm",""
"03_nlp_llm","ベクトル（べくとる）","vector<br><b>Example</b>: ベクトル検索を使う。 / べくとるけんさくをつかう。 / Use vector search.","ベクトル","べくとる","vector","ベクトルでひかくします。","べくとるでひかくします。","We'll compare using vectors.","ベクトルにしてくらべます。","べくとるにしてくらべます。","We'll convert to vectors and compare.","ベクトルのながさをそろえます。","べくとるのながさをそろえます。","We'll normalize vector length.","03_nlp_llm",""
"03_nlp_llm","類似度（るいじど）","similarity<br><b>Example</b>: 類似度で並べ替える。 / るいじどでならべかえる。 / Sort by similarity.","類似度","るいじど","similarity","類似度でならべます。","るいじどでならべます。","We'll sort by similarity.","類似度でならべます。","るいじどでならべます。","We'll sort by similarity.","類似度のけいさんほうほうをかえます。","るいじどのけいさんほうほうをかえます。","We'll change how we compute similarity.","03_nlp_llm",""
"03_nlp_llm","ベクトル検索（べくとるけんさく）","vector search<br><b>Example</b>: ベクトル検索の精度を測る。 / べくとるけんさくのせいどをはかる。 / Measure vector-search quality.","ベクトル検索","べくとるけんさく","vector search","ベクトル検索でにたぶんしょうをさがします。","べくとるけんさくでにたぶんしょうをさがします。","We'll find similar texts with vector search.","ベクトル検索でにたぶんしょうをさがします。","べくとるけんさくでにたぶんしょうをさがします。","We'll find similar texts with vector search.","ベクトル検索のしきいちをちょうせいします。","べくとるけんさくのしきいちをちょうせいします。","We'll tune the vector-search threshold.","03_nlp_llm",""
"03_nlp_llm","検索拡張生成（けんさくかくちょうせいせい）","retrieval-augmented generation (RAG)<br><b>Example</b>: 検索拡張生成で根拠を付ける。 / けんさくかくちょうせいせいでこんきょをつける。 / Add grounding with RAG.","検索拡張生成","けんさくかくちょうせいせい","retrieval-augmented generation (RAG)","検索拡張生成でこんきょをつけます。","けんさくかくちょうせいせいでこんきょをつけます。","We'll add grounding with RAG.","検索拡張生成でこんきょつきのこたえをつくります。","けんさくかくちょうせいせいでこんきょつきのこたえをつくります。","We'll generate answers with evidence using RAG.","検索拡張生成のそーすをふやします。","けんさくかくちょうせいせいのそーすをふやします。","We'll add more sources for RAG.","03_nlp_llm",""
"03_nlp_llm","プロンプト（ぷろんぷと）","prompt<br><b>Example</b>: プロンプトを短くする。 / ぷろんぷとをみじかくする。 / Shorten the prompt.","プロンプト","ぷろんぷと","prompt","プロンプトをみなおします。","ぷろんぷとをみなおします。","We'll revise the prompt.","プロンプトをみなおしてしつをあげます。","ぷろんぷとをみなおしてしつをあげます。","We'll revise the prompt to improve quality.","プロンプトをかえてけっかをくらべます。","ぷろんぷとをかえてけっかをくらべます。","We'll compare results with different prompts.","03_nlp_llm",""
"03_nlp_llm","指示（しじ）","instruction<br><b>Example</b>: 指示を明確に書く。 / しじをめいかくにかく。 / Write clear instructions.","指示","しじ","instruction","指示をみじかくします。","しじをみじかくします。","We'll keep the instruction short.","指示がながいとまちがえます。","しじがながいとまちがえます。","Long instructions can cause mistakes.","かんたんな指示にします。","かんたんなしじにします。","We'll keep the instruction simple.","03_nlp_llm",""
"03_nlp_llm","文脈（ぶんみゃく）","context<br><b>Example</b>: 文脈が足りない。 / ぶんみゃくがたりない。 / There isn’t enough context.","文脈","ぶんみゃく","context","文脈がたりません。","ぶんみゃくがたりません。","There's not enough context.","文脈がないといみがかわります。","ぶんみゃくがないといみがかわります。","Without context the meaning changes.","文脈をたすためにれきしをつけます。","ぶんみゃくをたすためにれきしをつけます。","We'll add history to provide context.","03_nlp_llm",""
"03_nlp_llm","生成（せいせい）","generation<br><b>Example</b>: 生成結果を比較する。 / せいせいけっかをひかくする。 / Compare generations.","生成","せいせい","generation","生成のしつをひょうかします。","せいせいのしつをひょうかします。","We'll evaluate generation quality.","生成のすぴーどをはかります。","せいせいのすぴーどをはかります。","We'll measure generation speed.","生成のしつをひょうかします。","せいせいのしつをひょうかします。","We'll evaluate generation quality.","03_nlp_llm",""
"03_nlp_llm","出力（しゅつりょく）","output<br><b>Example</b>: 出力形式を固定する。 / しゅつりょくけいしきをこていする。 / Fix the output format.","出力","しゅつりょく","output","出力をろぐにのこします。","しゅつりょくをろぐにのこします。","We'll log the output.","出力をろぐにのこします。","しゅつりょくをろぐにのこします。","We'll log the output.","この出力をかくにんします。","このしゅつりょくをかくにんします。","We'll check this output.","03_nlp_llm",""
"03_nlp_llm","幻覚（げんかく）","hallucination<br><b>Example</b>: 幻覚を減らしたい。 / げんかくをへらしたい。 / We want fewer hallucinations.","幻覚","げんかく","hallucination","幻覚をへらしたいです。","げんかくをへらしたいです。","We want fewer hallucinations.","このもでるは幻覚することがあります。","このもでるはげんかくすることがあります。","This model can hallucinate.","幻覚をへらすためにこんきょをつけます。","げんかくをへらすためにこんきょをつけます。","We'll add grounding to reduce hallucinations.","03_nlp_llm",""
"03_nlp_llm","根拠（こんきょ）","evidence / grounding<br><b>Example</b>: 根拠の引用を付ける。 / こんきょのいんようをつける。 / Add cited evidence.","根拠","こんきょ","evidence / grounding","根拠をつけてこたえます。","こんきょをつけてこたえます。","We'll answer with evidence.","このしゅちょうの根拠をしめしてください。","このしゅちょうのこんきょをしめしてください。","Please show evidence for this claim.","根拠がないこたえはだしません。","こんきょがないこたえはだしません。","We won't give answers without evidence.","03_nlp_llm",""
"03_nlp_llm","要約（ようやく）","summarization<br><b>Example</b>: 文章を要約する。 / ぶんしょうをようやくする。 / Summarize the text.","要約","ようやく","summarization","このぶんしょうを要約します。","このぶんしょうをようやくします。","We'll summarize this text.","このぶんしょうを要約します。","このぶんしょうをようやくします。","We'll summarize this text.","要約をみじかくします。","ようやくをみじかくします。","We'll make the summary shorter.","03_nlp_llm",""
