"Deck","Japanese","Example2_JP","Example2_Hiragana","Example2_EN","Example3_JP","Example3_Hiragana","Example3_EN"
"08_cv_vision","追跡","びでおでひとのうごきを追跡します。","","We track movement in video.","追跡がとぎれないようにします。","","We'll prevent tracking from breaking."
"08_cv_vision","深度推定","いちまいのがぞうから深度推定します。","","We estimate depth from a single image.","深度推定のごさをひょうかします。","","We'll evaluate depth-estimation error."
"08_cv_vision","特徴点","がぞうから特徴点をぬきだします。","","We extract keypoints from the image.","特徴点をまっちさせます。","","We'll match keypoints."
"08_cv_vision","マッチング","ふたつのがぞうをマッチングします。","","We match two images.","マッチングのせいどをあげます。","","We'll improve matching accuracy."

"09_recommender_systems","推薦","すきなじゃんるをもとに推薦します。","","We recommend based on favorite genres.","推薦のりゆうをせつめいします。","","We'll explain why it was recommended."
"09_recommender_systems","レコメンド","レコメンドのけっかをくらべます。","","We'll compare recommender results.","レコメンドをあっぷでーとします。","","We'll update the recommender."
"09_recommender_systems","ランキング","きのうとくらべてランキングがかわりました。","","The ranking changed compared to yesterday.","ランキングのるーるをみなおします。","","We'll review ranking rules."
"09_recommender_systems","検索","検索けっかがいまいちなのでちゅーにんぐします。","","Search results aren’t great, so we’ll tune it.","検索のくえりをぶんせきします。","","We'll analyze search queries."
"09_recommender_systems","クエリ","クエリをきれいにします。","","We'll clean up the query.","クエリがながすぎます。","","The query is too long."
"09_recommender_systems","候補生成","まず候補生成で1000けんだします。","","First, we generate 1,000 candidates.","候補生成をはやくします。","","We'll speed up candidate generation."
"09_recommender_systems","再ランキング","さいごに再ランキングでもっとよくします。","","Finally, we rerank to improve the order.","再ランキングのもでるをかえます。","","We'll change the re-ranking model."
"09_recommender_systems","クリック率","あいてむがめんをかえてクリック率をあげます。","","We change the item page to improve CTR.","クリック率がさがりました。","","CTR dropped."
"09_recommender_systems","コンバージョン","ふぁねるをみなおしてコンバージョンをあげます。","","We review the funnel to raise conversions.","コンバージョンがふえました。","","Conversions increased."
"09_recommender_systems","購入率","くーぽんで購入率をあげます。","","We increase purchase rate with coupons.","購入率がさがったりゆうをみます。","","We'll investigate why purchase rate dropped."
"09_recommender_systems","滞在時間","たいざいじかんがながいぺーじをぶんせきします。","","We analyze pages with long dwell time.","滞在時間をしひょうにします。","","We'll use dwell time as a metric."
"09_recommender_systems","エンゲージメント","ぷっしゅでエンゲージメントをふやします。","","We increase engagement with push notifications.","エンゲージメントをしひょうとしてみます。","","We'll try engagement as a metric."
"09_recommender_systems","暗黙フィードバック","くりっくは暗黙フィードバックとしてあつかいます。","","We treat clicks as implicit feedback.","暗黙フィードバックだけにたよりません。","","We won't rely only on implicit feedback."
"09_recommender_systems","明示フィードバック","れーてぃんぐを明示フィードバックとしてつかいます。","","We use ratings as explicit feedback.","明示フィードバックはすくないです。","","Explicit feedback is scarce."
"09_recommender_systems","協調フィルタリング","協調フィルタリングでにたゆーざーをさがします。","","Collaborative filtering finds similar users.","協調フィルタリングはこーるどすたーとによわいです。","","Collaborative filtering is weak for cold start."
"09_recommender_systems","行列分解","行列分解でゆーざーとあいてむのいんしをまなびます。","","Matrix factorization learns user/item factors.","行列分解のらんくをかえます。","","We'll change the rank in matrix factorization."
"09_recommender_systems","潜在因子","潜在因子をみてりかいします。","","We'll interpret latent factors.","潜在因子のすうをちょうせいします。","","We'll tune the number of latent factors."
"09_recommender_systems","コールドスタート","しんきゆーざーではコールドスタートがもんだいです。","","Cold start is an issue for new users.","コールドスタートたいさくをかんがえます。","","We'll plan cold-start mitigations."
"09_recommender_systems","多様性","多様性をだしてかたよりをへらします。","","Diversity reduces bias.","多様性がたりないとあきます。","","Lack of diversity gets boring."
"09_recommender_systems","公平性","すくないぐるーぷにも公平性があるかみます。","","We check fairness for underrepresented groups.","公平性のてすとをします。","","We'll test fairness."
"09_recommender_systems","オフライン評価","りりーすまえにオフライン評価します。","","We do offline evaluation before release.","オフライン評価とおんらいんひょうかをくらべます。","","We'll compare offline and online evaluation."
"09_recommender_systems","オンライン評価","えーびーてすとでオンライン評価します。","","We run online evaluation via A/B testing.","オンライン評価はだんかいてきにします。","","We'll roll out online evaluation gradually."

"10_security_privacy","セキュリティ","セキュリティをつよくします。","","We'll strengthen security.","セキュリティのりすくをひょうかします。","","We'll assess security risk."
"10_security_privacy","脆弱性","脆弱性がみつかりました。","","We found a vulnerability.","脆弱性をしゅうせいします。","","We'll fix the vulnerability."
"10_security_privacy","攻撃","しんきの攻撃をけんちしました。","","We detected a new attack.","攻撃をふせぐたいさくをうちます。","","We'll put mitigations in place to prevent attacks."
"10_security_privacy","侵入","ろぐから侵入のけいろをしらべます。","","We investigate the intrusion path from logs.","侵入をけんちするためにかんしします。","","We'll monitor to detect intrusions."
"10_security_privacy","不正アクセス","ふせいあくせすのしこうがつづいています。","","Unauthorized access attempts keep happening.","不正アクセスのろぐをかくにんします。","","We'll review logs for unauthorized access."
"10_security_privacy","認証","認証をみなおします。","","We'll review authentication.","認証をつよくするために2だんかいにします。","","We'll add two-step authentication."
"10_security_privacy","認可","認可のるーるをみなおします。","","We'll review authorization rules.","認可がただしいかてすとします。","","We'll test authorization."
"10_security_privacy","アクセス制御","ろーるべーすでアクセス制御します。","","We use role-based access control.","アクセス制御をしぼってりすくをへらします。","","We'll tighten access control to reduce risk."
"10_security_privacy","権限","ひつようなひとだけに権限をあたえます。","","We grant permissions only to those who need them.","権限をひとつずつかくにんします。","","We'll review privileges one by one."
"10_security_privacy","最小権限","さいしょは最小権限でうんようします。","","We operate with least privilege from the start.","最小権限ででふぉるとをせっていします。","","We'll set least-privilege defaults."
"10_security_privacy","暗号化","でーたを暗号化してほぞんします。","","We'll store the data encrypted.","つうしんも暗号化します。","","We'll encrypt the traffic too."
"10_security_privacy","復号","とらぶるたいおうでいちじてきに復号します。","","We decrypt temporarily for troubleshooting.","復号のけんげんをしぼります。","","We'll restrict decryption permissions."
"10_security_privacy","鍵管理","鍵管理をいっしょにみなおしましょう。","","Let's review key management together.","鍵管理のろーてーしょんをします。","","We'll rotate keys."
"10_security_privacy","監査","つぎの監査にそなえてせっていをみなおします。","","We review settings to prepare for the next audit.","監査でしつもんにこたえます。","","We'll answer questions in the audit."
"10_security_privacy","監査ログ","あとからたどれるように監査ログをのこします。","","We keep audit logs so we can trace later.","監査ログをながくほぞんします。","","We'll retain audit logs longer."
"10_security_privacy","個人情報","個人情報はあんごうかしてほぞんします。","","We store personal information encrypted.","個人情報はひつようさいしょうげんにします。","","We minimize personal data."
"10_security_privacy","機微情報","機微情報はそとにださないでください。","","Please don't expose sensitive information.","機微情報はあくせすをせいげんします。","","We restrict access to sensitive info."
"10_security_privacy","匿名化","てすとようにでーたを匿名化します。","","We anonymize data for testing.","匿名化したでーただけをつかいます。","","We'll use only anonymized data."
"10_security_privacy","仮名化","ゆーざーIDを仮名化してつかいます。","","We use pseudonymized user IDs.","仮名化してももとにもどせます。","","Pseudonymization can be reversible."
"10_security_privacy","マスキング","がめんではマスキングします。","","We'll mask it on screen.","ろぐにもマスキングをいれます。","","We'll mask it in logs too."
"10_security_privacy","データ保持","でーたのしゅるいごとにデータ保持をきめます。","","We set data retention per data type.","データ保持はみじかくします。","","We'll keep retention short."
