"Deck","Japanese","Example_JP","Example_Hiragana","Example_EN"
"05_data_experimentation","データ","データをあつめます。","","We'll collect data."
"05_data_experimentation","データセット","データセットをわけます。","","We'll split the dataset."
"05_data_experimentation","前処理","前処理でのいずをへらします。","","Preprocessing reduces noise."
"05_data_experimentation","正規化","正規化ですけーるをそろえます。","","Normalization aligns scales."
"05_data_experimentation","欠損","欠損をみつけます。","","We'll find missing values."
"05_data_experimentation","外れ値","外れ値をのぞきます。","","We'll remove outliers."
"05_data_experimentation","サンプリング","サンプリングででーたをへらします。","","We'll reduce data via sampling."
"05_data_experimentation","分布","分布をかくにんします。","","We'll check the distribution."
"05_data_experimentation","データドリフト","データドリフトをかんしします。","","We'll monitor data drift."
"05_data_experimentation","特徴量エンジニアリング","特徴量エンジニアリングでせいどをあげます。","","Feature engineering can improve accuracy."
"05_data_experimentation","実験","実験をくりかえします。","","We'll run experiments repeatedly."
"05_data_experimentation","A/Bテスト","A/Bテストをします。","","We'll run an A/B test."
"05_data_experimentation","対照群","対照群をよういします。","","We'll prepare a control group."
"05_data_experimentation","変数","変数をへんこうします。","","We'll change the variables."
"05_data_experimentation","乱数シード","乱数シードをこていします。","","We'll fix the random seed."

"06_mlops_systems","運用","運用でかんしをつづけます。","","Operations includes ongoing monitoring."
"06_mlops_systems","本番","本番にでぷろいします。","","We'll deploy to production."
"06_mlops_systems","検証環境","検証環境でためします。","","We'll test in staging."
"06_mlops_systems","デプロイ","いまデプロイします。","","I'm deploying now."
"06_mlops_systems","ロールバック","もんだいがあればロールバックします。","","We'll rollback if there's an issue."
"06_mlops_systems","監視","監視をつよくします。","","We'll strengthen monitoring."
"06_mlops_systems","アラート","アラートがなりました。","","An alert fired."
"06_mlops_systems","ログ","ログをみます。","","We'll check the logs."
"06_mlops_systems","障害","障害がはっせいしました。","","An outage occurred."
"06_mlops_systems","対応","すぐに対応します。","","We'll respond immediately."
"06_mlops_systems","影響範囲","影響範囲をしらべます。","","We'll investigate the blast radius."
"06_mlops_systems","再現","ばぐを再現します。","","We'll reproduce the bug."
"06_mlops_systems","切り分け","まず切り分けをします。","","First, we'll triage."
"06_mlops_systems","GPU","GPUがたりません。","","We don't have enough GPUs."
"06_mlops_systems","API","APIをこうかいします。","","We'll publish an API."

"07_project_communication","要件","要件をかくにんします。","","We'll confirm the requirements."
"07_project_communication","仕様","仕様をきめます。","","We'll finalize the specification."
"07_project_communication","スコープ","スコープをしぼります。","","We'll narrow the scope."
"07_project_communication","期限","期限までにおわらせます。","","We'll finish by the deadline."
"07_project_communication","優先度","優先度をつけます。","","We'll set priorities."
"07_project_communication","見積もり","見積もりをだします。","","We'll provide an estimate."
"07_project_communication","進捗","進捗をきょうゆうします。","","We'll share progress."
"07_project_communication","課題","課題をりすとにします。","","We'll list the issues."
"07_project_communication","方針","方針をきめます。","","We'll decide the approach."
"07_project_communication","合意","合意をとります。","","We'll get alignment."

"08_cv_vision","画像処理","画像処理でのいずをへらします。","","Image processing reduces noise."
"08_cv_vision","画像認識","画像認識でらべるをよそくします。","","Image recognition predicts labels."
"08_cv_vision","物体検出","物体検出でひとをみつけます。","","Object detection finds people."
"08_cv_vision","セグメンテーション","セグメンテーションでりょういきをわけます。","","Segmentation separates regions."
"08_cv_vision","インスタンス分割","インスタンス分割でこたいごとにわけます。","","Instance segmentation separates each object."
"08_cv_vision","画像分類","画像分類でくらすをえらびます。","","Image classification chooses a class."
"08_cv_vision","アノテーション","アノテーションをつけます。","","We'll add annotations."
"08_cv_vision","バウンディングボックス","バウンディングボックスをひきます。","","We'll draw bounding boxes."
"08_cv_vision","IoU","IoUをけいさんします。","","We'll compute IoU."
"08_cv_vision","mAP","mAPでひょうかします。","","We'll evaluate with mAP."
"08_cv_vision","誤検出","誤検出がふえています。","","False positives are increasing."
"08_cv_vision","検出漏れ","検出漏れがないかみます。","","We'll check for missed detections."
"08_cv_vision","データ拡張","データ拡張でばらつきをふやします。","","Data augmentation increases variety."
"08_cv_vision","回転","回転してでーたをふやします。","","We rotate to augment data."
"08_cv_vision","反転","反転してでーたをふやします。","","We flip to augment data."
"08_cv_vision","切り出し","切り出しでひつようなぶぶんだけつかいます。","","Cropping keeps only the needed part."
"08_cv_vision","解像度","解像度をそろえます。","","We'll keep the resolution consistent."
"08_cv_vision","リサイズ","リサイズしておおきさをそろえます。","","We resize to match sizes."
"08_cv_vision","ノイズ","ノイズがおおいです。","","There's a lot of noise."
"08_cv_vision","ぼかし","ぼかしをかけます。","","We'll apply blur."
"08_cv_vision","レンズ歪み","レンズ歪みをほせいします。","","We correct lens distortion."
"08_cv_vision","キャリブレーション","キャリブレーションでかめらをあわせます。","","Calibration aligns the camera."
"08_cv_vision","追跡","追跡でうごきをおいます。","","Tracking follows motion."
"08_cv_vision","深度推定","深度推定でおくゆきをだします。","","Depth estimation outputs depth."
"08_cv_vision","特徴点","特徴点をけんしゅつします。","","We'll detect keypoints."
"08_cv_vision","マッチング","マッチングでにたものをみつけます。","","Matching finds correspondences."

"09_recommender_systems","推薦","推薦をぱーそならいずします。","","We'll personalize recommendations."
"09_recommender_systems","レコメンド","レコメンドをあっぷでーとします。","","We'll update the recommender."
"09_recommender_systems","ランキング","ランキングをさいけいさんします。","","We'll recompute the ranking."
"09_recommender_systems","検索","検索のれいてんしをはかります。","","We'll measure search latency."
"09_recommender_systems","クエリ","クエリをぶんせきします。","","We'll analyze the query."
"09_recommender_systems","候補生成","候補生成でこうほをふやします。","","Candidate generation increases candidates."
"09_recommender_systems","再ランキング","再ランキングでじゅんばんをなおします。","","Re-ranking fixes the order."
"09_recommender_systems","クリック率","クリック率をあげたいです。","","We want higher CTR."
"09_recommender_systems","コンバージョン","コンバージョンをはかります。","","We'll measure conversions."
"09_recommender_systems","購入率","購入率をあげます。","","We'll increase purchase rate."
"09_recommender_systems","滞在時間","滞在時間をのばします。","","We'll increase dwell time."
"09_recommender_systems","エンゲージメント","エンゲージメントをふやします。","","We'll increase engagement."
"09_recommender_systems","暗黙フィードバック","暗黙フィードバックをつかいます。","","We'll use implicit feedback."
"09_recommender_systems","明示フィードバック","明示フィードバックをあつめます。","","We'll collect explicit feedback."
"09_recommender_systems","協調フィルタリング","協調フィルタリングをつかいます。","","We'll use collaborative filtering."
"09_recommender_systems","行列分解","行列分解でいんしをもとめます。","","Matrix factorization learns factors."
"09_recommender_systems","潜在因子","潜在因子のすうをちょうせいします。","","We'll tune the number of latent factors."
"09_recommender_systems","コールドスタート","コールドスタートでれこめんどがよわいです。","","Cold start hurts recommendations."
"09_recommender_systems","多様性","多様性をだします。","","We'll increase diversity."
"09_recommender_systems","公平性","公平性をかくほします。","","We'll ensure fairness."
"09_recommender_systems","オフライン評価","オフライン評価でさきにためします。","","We'll test offline first."
"09_recommender_systems","オンライン評価","オンライン評価でえーびーてすとをします。","","We'll A/B test online."

"10_security_privacy","セキュリティ","セキュリティをきょうかします。","","We'll strengthen security."
"10_security_privacy","脆弱性","脆弱性をなおします。","","We'll fix the vulnerability."
"10_security_privacy","攻撃","攻撃をうけました。","","We were attacked."
"10_security_privacy","侵入","しすてむに侵入されました。","","Someone intruded into the system."
"10_security_privacy","不正アクセス","不正アクセスがありました。","","There was unauthorized access."
"10_security_privacy","認証","認証をつよくします。","","We'll strengthen authentication."
"10_security_privacy","認可","認可をみなおします。","","We'll review authorization."
"10_security_privacy","アクセス制御","アクセス制御をせっていします。","","We'll configure access control."
"10_security_privacy","権限","権限をしぼります。","","We'll reduce privileges."
"10_security_privacy","最小権限","最小権限をまもります。","","We'll follow least privilege."
"10_security_privacy","暗号化","でーたを暗号化します。","","We'll encrypt the data."
"10_security_privacy","復号","ひつようなときだけ復号します。","","We'll decrypt only when needed."
"10_security_privacy","鍵管理","鍵管理をみなおします。","","We'll review key management."
"10_security_privacy","監査","監査のじゅんびをします。","","We'll prepare for the audit."
"10_security_privacy","監査ログ","監査ログをのこします。","","We'll keep an audit log."
"10_security_privacy","個人情報","個人情報はあつかいにちゅういします。","","Handle personal information carefully."
"10_security_privacy","機微情報","機微情報はべつにほぞんします。","","We store sensitive information separately."
"10_security_privacy","匿名化","でーたを匿名化します。","","We'll anonymize the data."
"10_security_privacy","仮名化","でーたを仮名化します。","","We'll pseudonymize the data."
"10_security_privacy","マスキング","ろぐをマスキングします。","","We'll mask the logs."
"10_security_privacy","データ保持","データ保持きかんをきめます。","","We'll set the data retention period."
"10_security_privacy","削除","ようきゅうがあれば削除します。","","We'll delete it on request."
"10_security_privacy","同意","りようまえに同意をとります。","","We'll get consent before use."
"10_security_privacy","目的外利用","目的外利用はしません。","","We won't use it beyond the stated purpose."
"10_security_privacy","インシデント","インシデントがはっせいしました。","","An incident occurred."
"10_security_privacy","対策","対策をすぐにうちます。","","We'll put mitigations in place immediately."

"11_meeting_phrases","共有します","いま共有します。","","I’ll share now."
"11_meeting_phrases","確認します","いま確認します。","","I’ll check now."
"11_meeting_phrases","相談させてください","このてん、相談させてください。","","Let me discuss this point."
"11_meeting_phrases","念のため","念のため、かくにんします。","","just in case, I'll double-check."
"11_meeting_phrases","結論から言うと","結論から言うと、だいじょうぶです。","","Bottom line, it’s fine."
"11_meeting_phrases","〜でよろしいでしょうか","このないようでよろしいでしょうか。","このないようでよろしいでしょうか。","Would this be okay?"
"11_meeting_phrases","〜という認識です","このてんはそういうにんしきです。","このてんはそういうにんしきです。","That’s my understanding."
"11_meeting_phrases","認識合わせ","認識合わせをしましょう。","","Let’s align our understanding."
"11_meeting_phrases","方向性","方向性をきめましょう。","","Let’s decide the direction."
"11_meeting_phrases","方針","方針をきめましょう。","","Let’s decide the approach."
"11_meeting_phrases","優先度","優先度をつけます。","","We’ll set the priority."
"11_meeting_phrases","いったん","いったん、ここでとめます。","","For now, let’s stop here."
"11_meeting_phrases","差し戻し","これは差し戻しです。","","This is sent back for rework."
"11_meeting_phrases","追加で","追加で、ひとつしつもんです。","","Additionally, one question."
"11_meeting_phrases","影響ありますか","このへんこうで影響ありますか？","","Any impact from this change?"
"11_meeting_phrases","切り分けます","こちらで切り分けます。","","I’ll triage on my side."
"11_meeting_phrases","根拠は","根拠はありますか？","","What’s the evidence?"
"11_meeting_phrases","検討します","検討します。","","We’ll consider it."
"11_meeting_phrases","持ち帰ります","このけんは持ち帰ります。","","I’ll take this back and review."
"11_meeting_phrases","宿題","これは宿題です。","","This is an action item."
"11_meeting_phrases","次回までに","次回までにおわらせます。","","I’ll finish by next time."
"11_meeting_phrases","予定通り","予定通りすすめます。","","We’ll proceed as planned."
"11_meeting_phrases","前倒し","前倒しできそうです。","","It looks like we can move it earlier."
"11_meeting_phrases","後ろ倒し","後ろ倒ししてもいいですか？","","Is it okay to push it back?"
"11_meeting_phrases","すり合わせ","すり合わせをしましょう。","","Let’s align and adjust."
"11_meeting_phrases","調整します","いま調整します。","","I’ll adjust now."
"11_meeting_phrases","まずは","まずは、ここからです。","","First, we start here."
"11_meeting_phrases","もし可能なら","もし可能なら、きょうちゅうにおねがいします。","","If possible, today would be great."
"11_meeting_phrases","〜で問題ないです","これでもんだいないです。","これでもんだいないです。","It’s fine."
